-50,92.94270232,6.823416148
-47.77777778,97.34565137,7.460562692
-45.55555556,101.7658755,8.141200324
-43.33333333,106.2049731,8.867132788
-41.11111111,110.6646256,9.640185085
-38.88888889,115.1466076,10.46220342
-36.66666667,119.6527985,11.33505536
-34.44444444,124.185197,12.26063012
-32.22222222,128.7459367,13.24083917
-30,133.3373056,14.27761693
-27.77777778,137.9617654,15.37292181
-25.55555556,142.6219722,16.52873752
-23.33333333,147.320798,17.7470748
-21.11111111,152.0613545,19.02997372
-18.88888889,156.8470225,20.37950651
-16.66666667,161.6814923,21.7977811
-14.44444444,166.5688198,23.28694546
-12.22222222,171.5135048,24.84919264
-10,176.5205931,26.48676671
-7.777777778,181.5958058,28.20196964
-5.555555556,186.7456965,29.99716938
-3.333333333,191.97784,31.8748094
-1.111111111,197.3010627,33.83742017
1.111111111,202.725738,35.88763337
3.333333333,208.2641914,38.0281997
5.555555556,213.9312958,40.26201154
7.777777778,219.7453843,42.59213163
10,225.7296501,45.02182914
12.22222222,231.9142444,47.55462496
14.44444444,238.3393199,50.19434996
16.66666667,245.0594567,52.94522688
18.88888889,252.1507898,55.81200023
21.11111111,259.725317,58.80016155
23.33333333,267.9663782,61.91633823
25.55555556,277.2266283,65.16893462
27.77777778,288.3391005,68.56938333
30,304.5534212,72.13687383
30.9782,332.2456525,73.77298373
30,365.128874,72.13687383
27.77777778,382.4484842,68.56938333
25.55555556,392.4245976,65.16893462
23.33333333,399.6867109,61.91633823
21.11111111,405.4095851,58.80016155
18.88888889,410.106471,55.81200023
16.66666667,414.0568569,52.94522688
14.44444444,417.432635,50.19434996
12.22222222,420.3481852,47.55462496
10,422.8840002,45.02182914
7.777777778,425.0991743,42.59213163
5.555555556,427.0385698,40.26201154
3.333333333,428.7371907,38.0281997
1.111111111,430.2229822,35.88763337
-1.111111111,431.5186915,33.83742017
-3.333333333,432.6431425,31.8748094
-5.555555556,433.6121313,29.99716938
-7.777777778,434.4390682,28.20196964
-10,435.1354462,26.48676671
-12.22222222,435.7111893,24.84919264
-14.44444444,436.1749193,23.28694546
-16.66666667,436.534167,21.7977811
-18.88888889,436.7955497,20.37950651
-21.11111111,436.9649251,19.02997372
-23.33333333,437.047529,17.7470748
-25.55555556,437.0480943,16.52873752
-27.77777778,436.9709478,15.37292181
-30,436.820081,14.27761693
-32.22222222,436.5991953,13.24083917
-34.44444444,436.3117267,12.26063012
-36.66666667,435.9608613,11.33505536
-38.88888889,435.5495478,10.46220342
-41.11111111,435.0805166,9.640185085
-43.33333333,434.5563024,8.867132788
-45.55555556,433.9792709,8.141200324
-47.77777778,433.3516431,7.460562692
-50,432.6755166,6.823416148
